member_id,member_name,city,credit_score,account_status,late_payment_count,missed_payment_count,total_amount_past_due,total_payments,delinquency_rate,risk_score,risk_tier
MBR-000002,Anna Clark,Euless,668.0,Active,13,4,2306.24,37,35.1,25.5,Moderate Risk
MBR-000003,Brian Hill,Arlington,731.0,Active,8,3,1483.3400000000001,24,33.3,16.7,Low Risk
MBR-000004,Sandra Roberts,Dallas,801.0,Active,5,1,1145.87,14,35.7,8.9,Low Risk
MBR-000005,Elizabeth Hill,Granbury,661.0,Active,15,6,6455.7300000000005,52,28.8,34.4,Moderate Risk
MBR-000006,John Lee,Burleson,661.0,Active,5,1,844.07,16,31.3,8.2,Low Risk
MBR-000007,Justin Ramirez,Bedford,806.0,Active,12,2,631.04,43,27.9,18.1,Low Risk
MBR-000008,Timothy Hill,Haltom City,741.0,Active,11,4,6402.79,35,31.4,25.6,Moderate Risk
MBR-000009,Dorothy Allen,Haltom City,642.0,Active,24,9,4177.82,62,38.7,50.8,High Risk
MBR-000010,Michelle Young,Denton,723.0,Active,5,0,0.0,17,29.4,5.3,Low Risk
MBR-000012,Laura Davis,Mansfield,642.0,Active,22,10,13041.93,76,28.9,55.8,High Risk
MBR-000013,Kimberly Nelson,Cleburne,699.0,Active,17,4,2139.31,42,40.5,30.6,Moderate Risk
MBR-000014,Richard Brown,Southlake,526.0,Active,5,1,132.35,11,45.5,9.1,Low Risk
MBR-000016,Dorothy Robinson,Hurst,635.0,Active,24,5,3505.64,66,36.4,41.5,Moderate Risk
MBR-000017,Nicholas King,Arlington,598.0,Active,16,6,8202.79,43,37.2,37.6,Moderate Risk
MBR-000018,Rebecca Nelson,Benbrook,705.0,Active,3,0,0.0,25,12.0,1.2,Low Risk
MBR-000020,Shirley Smith,Keller,567.0,Active,4,2,1535.83,18,22.2,8.8,Low Risk
MBR-000021,Dorothy Allen,Burleson,797.0,Active,10,2,1861.92,22,45.5,18.4,Low Risk
MBR-000024,Kevin Clark,Burleson,566.0,Active,7,1,1698.99,22,31.8,11.2,Low Risk
MBR-000026,Dorothy Lopez,Burleson,688.0,Active,10,6,4142.12,24,41.7,28.2,Moderate Risk
MBR-000027,Eric Wright,Grapevine,587.0,Active,10,5,20314.39,26,38.5,37.0,Moderate Risk
MBR-000028,Stephen Rodriguez,Hurst,710.0,Active,12,2,2067.76,45,26.7,19.0,Low Risk
MBR-000029,Jeffrey Lewis,Haltom City,631.0,Active,5,0,0.0,19,26.3,5.0,Low Risk
MBR-000031,Susan Roberts,Mansfield,631.0,Active,10,3,2217.3900000000003,46,21.7,18.4,Low Risk
MBR-000032,Jeffrey Flores,Hurst,828.0,Active,14,4,1312.03,40,35.0,25.9,Moderate Risk
MBR-000033,Jeffrey Jones,Mansfield,678.0,Active,10,3,4222.17,35,28.6,20.5,Low Risk
MBR-000034,Anthony Clark,Benbrook,595.0,Active,5,1,169.09,20,25.0,7.1,Low Risk
MBR-000035,Nicole Anderson,Mansfield,745.0,Active,12,4,1157.3899999999999,49,24.5,22.4,Low Risk
MBR-000037,Rebecca Taylor,North Richland Hills,696.0,Active,4,2,1001.16,11,36.4,9.8,Low Risk
MBR-000039,Susan Nguyen,Keller,573.0,Active,14,4,2835.7,53,26.4,26.1,Moderate Risk
MBR-000042,Kimberly Lewis,Euless,693.0,Active,11,3,3918.52,42,26.2,21.2,Low Risk
MBR-000043,Kimberly Scott,Haltom City,670.0,Active,22,7,13570.94,66,33.3,50.2,High Risk
MBR-000044,Mark Sanchez,Keller,655.0,Active,8,2,721.2,34,23.5,13.0,Low Risk
MBR-000047,Pamela Jackson,North Richland Hills,643.0,Active,10,2,880.76,45,22.2,15.4,Low Risk
MBR-000048,Joshua Garcia,Denton,764.0,Active,6,3,2109.48,39,15.4,13.0,Low Risk
MBR-000049,Richard Carter,Cleburne,707.0,Active,12,2,10000.0,41,29.3,24.8,Low Risk
MBR-000053,Sharon Green,Dallas,625.0,Active,7,2,899.64,35,20.0,11.6,Low Risk
MBR-000055,Amy Green,Arlington,762.0,Active,5,2,450.28,13,38.5,10.8,Low Risk
MBR-000056,Mary Scott,Dallas,754.0,Active,8,2,3073.9,28,28.6,15.2,Low Risk
MBR-000057,Jacob Thomas,Watauga,612.0,Active,5,3,15000.0,28,17.9,21.0,Low Risk
