member_id,first_name,last_name,join_date,city,state,credit_score,email,phone,account_status
MBR-000001,Joseph,Johnson,03/03/2016,Mansfield,TX,719.0,,(817)792-9935,Active
MBR-000002,Anna,Clark,12/11/2014,Euless,TX,668.0,anna.clark604@yahoo.com,(817)877-3615,Active
MBR-000003,Brian,Hill,12/07/2015,Arlington,TX,731.0,brian.hill748@gmail.com,(817)487-2291,Active
MBR-000004,Sandra,Roberts,06/28/2016,Dallas,TX,801.0,sandra.roberts876@yahoo.com,(817)489-5554,Active
MBR-000005,Elizabeth,Hill,03/29/2024,Granbury,TX,661.0,elizabeth.hill547@gmail.com,(682)573-7216,Active
MBR-000006,John,Lee,12/31/2018,Burleson,TX,661.0,john.lee68@yahoo.com,(214)317-9179,Active
MBR-000007,Justin,Ramirez,02/02/2023,Bedford,TX,806.0,justin.ramirez371@yahoo.com,(682)621-9085,Active
MBR-000008,Timothy,Hill,07/01/2020,Haltom City,TX,741.0,timothy.hill258@gmail.com,(817)796-2876,Active
MBR-000009,Dorothy,Allen,01/03/2014,Haltom City,TX,642.0,dorothy.allen935@yahoo.com,(214)961-9317,Active
MBR-000010,Michelle,Young,06/09/2010,Denton,TX,723.0,michelle.young952@yahoo.com,(214)345-1949,Active
MBR-000011,Thomas,Rodriguez,08/29/2020,Watauga,TX,642.0,thomas.rodriguez170@yahoo.com,(972)316-9835,Inactive
MBR-000012,LAURA,Davis,07/24/2015,Mansfield,TX,642.0,laura.davis66@yahoo.com,(682)702-4608,Active
MBR-000013,Kimberly,Nelson,11/20/2020,Cleburne,TX,699.0,kimberly.nelson553@yahoo.com,(972)348-8749,Active
MBR-000014,Richard,Brown,01/12/2019,Southlake,TX,526.0,richard.brown820@gmail.com,(682)296-4116,Active
MBR-000015,Stephen,Miller,02/19/2011,Watauga,TX,542.0,stephen.miller857@yahoo.com,(817)871-4872,Closed
MBR-000016,Dorothy,Robinson,05/25/2016,Hurst,TX,635.0,dorothy.robinson714@gmail.com,(972)258-4111,Active
MBR-000017,Nicholas,King,07/13/2013,Arlington,TX,598.0,nicholas.king984@gmail.com,(682)170-2113,Active
MBR-000018,Rebecca,Nelson,02/03/2023,Benbrook,TX,705.0,rebecca.nelson536@yahoo.com,(214)309-6147,Active
MBR-000019,Ryan,Flores,08/18/2022,Denton,TX,607.0,ryan.flores76@gmail.com,(214)235-6718,Active
MBR-000020,Shirley,Smith,06/10/2022,Keller,TX,567.0,shirley.smith955@gmail.com,(682)370-2891,Active
MBR-000021,Dorothy,Allen,12/16/2020,Burleson,TX,797.0,dorothy.allen928@gmail.com,(817)194-7939,Active
MBR-000022,Jason,Scott,03/21/2010,Denton,TX,661.0,jason.scott78@gmail.com,(682)658-1590,Active
MBR-000023,Jennifer,Thompson,09/17/2014,Mansfield,TX,685.0,jennifer.thompson683@yahoo.com,(972)735-3532,Active
MBR-000024,Kevin,Clark,07/26/2015,Burleson,TX,566.0,kevin.clark164@gmail.com,(817)491-1634,Active
MBR-000025,Patricia,Nelson,05/02/2014,Bedford,TX,636.0,patricia.nelson337@yahoo.com,(817)891-5573,Inactive
MBR-000026,Dorothy,Lopez,01/09/2023,Burleson,TX,688.0,dorothy.lopez40@yahoo.com,(972)453-6139,Active
MBR-000027,Eric,Wright,06/03/2014,Grapevine,TX,587.0,eric.wright442@yahoo.com,(214)738-6143,Active
MBR-000028,Stephen,Rodriguez,04/21/2014,Hurst,TX,710.0,stephen.rodriguez681@gmail.com,(682)730-5930,Active
MBR-000029,Jeffrey,Lewis,10/17/2014,Haltom City,TX,631.0,jeffrey.lewis485@gmail.com,(682)774-2389,Active
MBR-000030,Betty,Martinez,07/20/2010,Arlington,TX,656.0,betty.martinez251@gmail.com,(817)566-7790,Active
MBR-000031,Susan,Roberts,07/15/2019,Mansfield,TX,631.0,susan.roberts181@gmail.com,(972)151-5082,Active
MBR-000032,Jeffrey,Flores,04/28/2021,Hurst,TX,828.0,jeffrey.flores851@gmail.com,(972)262-8777,Active
MBR-000033,Jeffrey,Jones,05/29/2016,Mansfield,TX,678.0,jeffrey.jones279@yahoo.com,(817)241-3471,Active
MBR-000034,Anthony,Clark,09/26/2018,Benbrook,TX,595.0,anthony.clark969@gmail.com,(972)588-1096,Active
MBR-000035,Nicole,Anderson,12/13/2020,Mansfield,TX,745.0,nicole.anderson280@gmail.com,(817)498-6507,Active
MBR-000036,Ronald,Nguyen,08/29/2022,Fort Worth,TX,582.0,ronald.nguyen86@gmail.com,(682)987-8564,Active
MBR-000037,Rebecca,Taylor,11/02/2011,North Richland Hills,TX,696.0,rebecca.taylor20@gmail.com,(817)458-4673,Active
MBR-000038,Karen,Thomas,10/31/2012,North Richland Hills,TX,523.0,karen.thomas686@yahoo.com,(682)576-5198,Closed
MBR-000039,Susan,Nguyen,07/30/2010,Keller,TX,573.0,susan.nguyen590@gmail.com,(972)506-4249,Active
MBR-000040,Jessica,  Torres,12/03/2010,Grapevine,TX,695.0,jessica.torres546@gmail.com,(214)170-9289,Inactive
MBR-000041,Ryan,Rivera,06/07/2013,Hurst,TX,739.0,ryan.rivera181@gmail.com,(214)730-9817,Inactive
MBR-000042,Kimberly,Lewis,06/21/2015,Euless,TX,693.0,kimberly.lewis584@gmail.com,(972)444-1470,Active
MBR-000043,Kimberly,Scott,03/25/2010,Haltom City,TX,670.0,kimberly.scott971@yahoo.com,(682)837-7658,Active
MBR-000044,Mark,Sanchez,06/17/2015,Keller,TX,655.0,mark.sanchez680@gmail.com,(972)666-9698,Active
MBR-000045,Matthew,Lee,09/06/2012,Watauga,TX,561.0,matthew.lee974@gmail.com,(682)296-4545,Inactive
MBR-000046,Emily,Anderson,02/04/2018,Granbury,TX,622.0,emily.anderson310@yahoo.com,(682)380-1745,Inactive
MBR-000047,Pamela,Jackson,07/12/2020,North Richland Hills,TX,643.0,pamela.jackson452@yahoo.com,(817)358-8827,Active
MBR-000048,Joshua,Garcia,07/27/2015,Denton,TX,764.0,joshua.garcia572@gmail.com,(682)894-9561,Active
MBR-000049,Richard,Carter,08/30/2014,Cleburne,TX,707.0,richard.carter271@gmail.com,(682)345-3847,Active
MBR-000050,Andrew,Hall,03/08/2020,Dallas,TX,538.0,andrew.hall704@yahoo.com,(214)906-4241,Active
MBR-000051,Donna,Hill,10/07/2022,Keller,TX,705.0,donna.hill450@yahoo.com,(214)816-7594,Active
MBR-000052,Steven,Johnson,01/19/2012,Mansfield,TX,649.0,steven.johnson985@gmail.com,(817)883-5415,Closed
MBR-000053,Sharon,Green,01/11/2021,Dallas,TX,625.0,sharon.green482@yahoo.com,(214)428-2713,Active
MBR-000054,Ryan,  Garcia,01/20/2017,Burleson,TX,728.0,ryan.garcia332@yahoo.com,(972)985-9431,Active
MBR-000055,Amy,Green,12/01/2019,Arlington,TX,762.0,,(682)394-8178,Active
MBR-000056,Mary,Scott,02/25/2019,Dallas,TX,754.0,mary.scott231@gmail.com,(817)572-2924,Active
MBR-000057,Jacob,Thomas,03/30/2020,Watauga,TX,612.0,jacob.thomas149@yahoo.com,(682)984-2143,Active
MBR-000058,Joshua,Nguyen,01/03/2023,North Richland Hills,TX,655.0,joshua.nguyen887@yahoo.com,(972)453-6446,Active
MBR-000059,Sandra,Roberts,03/20/2019,Arlington,TX,706.0,sandra.roberts326@gmail.com,(972)495-3492,Active
MBR-000060,Shirley,Robinson,05/06/2010,Weatherford,TX,758.0,shirley.robinson420@gmail.com,(682)176-8692,Active
MBR-000061,Jonathan,Harris,02/07/2017,North Richland Hills,TX,641.0,jonathan.harris894@gmail.com,(817)340-5708,Active
MBR-000062,Joshua,Johnson,01/12/2011,Southlake,TX,665.0,joshua.johnson816@yahoo.com,(214)483-8056,Inactive
MBR-000063,Helen,Baker,05/27/2015,North Richland Hills,TX,591.0,helen.baker935@gmail.com,(682)572-5161,Active
MBR-000064,Brian,Nguyen,09/16/2016,Hurst,TX,584.0,brian.nguyen707@yahoo.com,(214)303-7302,Active
MBR-000065,Ronald,Moore,03/08/2010,Benbrook,TX,745.0,ronald.moore886@gmail.com,(817)720-9138,Active
MBR-000066,Steven,Baker,10/14/2024,Weatherford,TX,788.0,steven.baker644@yahoo.com,(817)416-8222,Active
MBR-000067,Anna,White,11/27/2021,Haltom City,TX,674.0,anna.white936@yahoo.com,(682)363-8894,Active
MBR-000068,Mark,Baker,11/30/2018,Watauga,TX,760.0,mark.baker375@yahoo.com,(972)114-5332,Closed
MBR-000069,Susan,Baker,03/31/2015,North Richland Hills,TX,708.0,susan.baker26@gmail.com,(214)724-4626,Active
MBR-000070,John,Martin,01/18/2021,Denton,TX,628.0,john.martin100@yahoo.com,(682)497-8432,Inactive
MBR-000071,Richard,Young,10/23/2023,Hurst,TX,708.0,richard.young962@gmail.com,(817)806-7070,Inactive
MBR-000072,Amanda,Brown,12/06/2018,Burleson,TX,803.0,,(972)193-4475,Active
MBR-000073,David,Carter,06/07/2022,Cleburne,TX,677.0,david.carter601@yahoo.com,(682)436-3417,Active
MBR-000074,JOSEPH,Nelson,07/31/2010,Weatherford,TX,805.0,joseph.nelson16@yahoo.com,(682)702-6304,Active
MBR-000075,George,Allen,04/26/2023,Denton,TX,470.0,,(817)844-9543,Active
MBR-000076,Jeffrey,Jones,10/24/2011,Southlake,TX,745.0,jeffrey.jones623@yahoo.com,(682)381-9984,Active
MBR-000077,Joseph,Adams,08/07/2024,Watauga,TX,686.0,joseph.adams739@gmail.com,(972)562-4743,Active
MBR-000078,Karen,Baker,08/21/2020,Dallas,TX,656.0,karen.baker94@gmail.com,(817)542-2582,Active
MBR-000079,Edward,Thompson,06/27/2019,Arlington,TX,687.0,edward.thompson992@yahoo.com,(214)460-2697,Active
MBR-000080,KIMBERLY,Torres,01/27/2015,Hurst,TX,520.0,kimberly.torres866@gmail.com,(817)723-5381,Active
MBR-000081,Stephanie,Jones,03/08/2013,Fort Worth,TX,662.0,stephanie.jones94@gmail.com,(682)485-7878,Inactive
MBR-000082,Karen,Hernandez,11/10/2023,Arlington,TX,708.0,karen.hernandez691@yahoo.com,(972)777-7947,Active
MBR-000083,Emma,Young,10/26/2021,Keller,TX,798.0,emma.young47@yahoo.com,(817)107-4349,Active
MBR-000083,Emma,Young,10/26/2021,Keller,TX,798.0,emma.young47@yahoo.com,(817)107-4349,Active
MBR-000084,Daniel,Rodriguez,07/12/2018,Watauga,TX,638.0,,(214)173-7505,Active
MBR-000085,Rebecca,Jackson,08/01/2012,Bedford,TX,615.0,rebecca.jackson22@gmail.com,(682)920-8538,Active
MBR-000086,Ronald,Martin,08/13/2017,Mansfield,TX,639.0,ronald.martin342@gmail.com,(817)622-2868,Active
MBR-000087,Susan,Martinez,09/28/2015,Cleburne,TX,753.0,susan.martinez178@gmail.com,(817)281-9095,Closed
MBR-000088,Michelle,Green,02/02/2017,Weatherford,TX,706.0,michelle.green451@yahoo.com,(972)746-5961,Active
MBR-000089,Andrew,Jones,06/17/2024,Dallas,TX,637.0,andrew.jones630@gmail.com,(972)573-1672,Active
MBR-000090,Susan,Perez,11/22/2011,Haltom City,TX,721.0,susan.perez662@yahoo.com,(682)824-8172,Active
MBR-000091,Scott,Brown,02/25/2024,Southlake,TX,687.0,scott.brown68@yahoo.com,(972)390-5128,Active
MBR-000092,Brian,Martin,09/18/2024,Bedford,TX,757.0,brian.martin133@gmail.com,(817)417-7171,Inactive
MBR-000093,Barbara,Adams,07/01/2019,Haltom City,TX,623.0,barbara.adams371@yahoo.com,(214)284-4509,Active
MBR-000094,Nicholas,Roberts,02/08/2022,Haltom City,TX,653.0,nicholas.roberts39@gmail.com,(682)711-7172,Active
MBR-000095,George,Baker,04/30/2015,Euless,TX,648.0,george.baker626@yahoo.com,(972)339-9749,Active
MBR-000096,Jeffrey,Robinson,04/27/2016,Bedford,TX,562.0,jeffrey.robinson515@gmail.com,(682)936-4271,Active
MBR-000097,Eric,Davis,05/24/2016,Dallas,TX,703.0,eric.davis782@yahoo.com,(972)625-3414,Active
MBR-000098,Ronald,Allen,05/22/2018,Mansfield,TX,700.0,ronald.allen396@gmail.com,(214)329-1461,Inactive
MBR-000099,Jacob,Hall,02/10/2013,North Richland Hills,TX,680.0,jacob.hall460@gmail.com,(817)119-5193,Active
MBR-000100,Jessica,Brown,05/08/2015,Hurst,TX,661.0,jessica.brown655@gmail.com,(972)164-2816,Active
MBR-000101,James,Flores,11/30/2017,Mansfield,TX,566.0,james.flores585@gmail.com,(817)636-6908,Active
MBR-000102,Deborah,White,09/09/2015,Fort Worth,TX,646.0,deborah.white366@gmail.com,(214)346-2698,Active
MBR-000103,Cynthia,Hall,09/25/2020,Granbury,TX,652.0,cynthia.hall831@yahoo.com,(972)137-5807,Active
MBR-000104,Jacob,Taylor,10/27/2010,Cleburne,TX,615.0,jacob.taylor293@yahoo.com,(817)986-6438,Active
MBR-000105,Nancy,Young,02/27/2021,Grapevine,TX,667.0,nancy.young947@gmail.com,(214)920-2353,Active
MBR-000106,Emily,Martin,01/01/2020,White Settlement,TX,712.0,emily.martin735@gmail.com,(972)459-8325,Closed
MBR-000107,Elizabeth,Nelson,04/19/2024,Bedford,TX,830.0,elizabeth.nelson373@gmail.com,(682)131-3339,Active
MBR-000108,Larry,Williams,07/28/2023,Weatherford,TX,693.0,larry.williams696@gmail.com,(214)480-8273,Active
MBR-000109,Nancy,Young,08/12/2021,Bedford,TX,700.0,nancy.young936@gmail.com,(214)893-5264,Active
MBR-000110,Elizabeth,Lewis,11/15/2013,Euless,TX,674.0,elizabeth.lewis90@gmail.com,(214)783-6692,Active
MBR-000111,DANIEL,White,05/30/2021,Mansfield,TX,526.0,daniel.white125@gmail.com,(682)342-9094,Active
MBR-000112,Donna,Sanchez,09/26/2020,Haltom City,TX,677.0,donna.sanchez421@gmail.com,(817)228-6194,Active
MBR-000113,Nancy,Roberts,11/23/2012,Hurst,TX,684.0,nancy.roberts515@gmail.com,(817)951-3034,Active
MBR-000114,Andrew,Garcia,08/15/2015,Cleburne,TX,850.0,andrew.garcia651@gmail.com,(214)228-5961,Active
MBR-000115,Nicole,Perez,08/23/2022,Arlington,TX,664.0,nicole.perez846@gmail.com,(817)146-5336,Active
